Name,Likes,Activity,Local,Date,Hour,Weather
Doe,night_activities,Movie Watching,East Andrew,2023-10-02,04:23,Sunny
Charlie,sports_activities,Scuba Diving ,Jessicaville,2023-09-19,20:09,Sunny
Eve,home_activities,Board Games ,Aliciastad,2023-09-26,16:47,Snowy
Charlie,sports_activities,Basketball,Georgetown,2023-09-16,10:08,Sunny
Bob,water_activities,Rafting,Waltersport,2023-10-01,13:51,Rainy
Jane,artistic_activities,Music Class,South Edward,2023-09-24,13:45,Windy
John,physical_activities,Stargazing,West Brooke,2023-10-11,23:17,Windy
Doe,night_activities,Movie Watching,North John,2023-09-18,15:22,Sunny
Jane,artistic_activities,Potluck Dinner,New John,2023-10-09,21:00,Windy
Jane,artistic_activities,Stargazing,Davisport,2023-10-01,05:14,Snowy
Bob,water_activities,Kayaking,Russellside,2023-09-24,17:09,Sunny
Eve,home_activities,Reading ,Lake Anthonytown,2023-09-19,06:26,Rainy
Bob,water_activities,Surfing,Knappshire,2023-09-23,18:31,Rainy
Eve,home_activities,Movie Watching,Jenniferview,2023-10-05,04:41,Sunny
Alice,outdoor_activities,Golfing ,Briannaberg,2023-09-21,08:08,Sunny
Doe,night_activities,Potluck Dinner,Carterfurt,2023-10-07,20:11,Sunny
Alice,outdoor_activities,Fishing ,Kylebury,2023-10-07,16:28,Cloudy
Jane,artistic_activities,Art Class,Port Paulview,2023-09-17,07:30,Windy
Eve,home_activities,Walking the dog,North Lindafurt,2023-09-29,22:14,Snowy
John,physical_activities,Running,Goldenville,2023-09-16,17:29,Sunny
Eve,home_activities,Facial Treatment,East Johnstad,2023-09-18,10:26,Snowy
Jane,artistic_activities,Movie Watching,Lake Kimberlyview,2023-09-27,04:37,Sunny
Bob,water_activities,Sauna  ,Lake Jameschester,2023-09-17,18:21,Sunny
Bob,water_activities,Kayaking,Beverlystad,2023-09-17,12:12,Snowy
Eve,home_activities,Video Games,Masonville,2023-09-29,20:32,Sunny
Eve,home_activities,Baking ,South Robyn,2023-09-24,10:42,Snowy
Jane,artistic_activities,Hiking ,North Nicole,2023-10-05,01:39,Sunny
Eve,home_activities,Movie Watching,East Jessica,2023-09-26,23:15,Sunny
Bob,water_activities,Swimming,Nataliechester,2023-09-19,06:29,Sunny
Jane,artistic_activities,Walking the dog,Lake Sabrina,2023-10-03,22:41,Cloudy
Jane,artistic_activities,Walking the dog,Elizabethtown,2023-09-28,04:53,Cloudy
Mallory,extreme_activities,Rock Climbing ,Gibsonmouth,2023-10-03,13:40,Sunny
Doe,night_activities,Hiking ,Adamview,2023-09-20,23:07,Snowy
Mallory,extreme_activities,Movie Watching,West Angelaburgh,2023-09-18,21:59,Windy
John,physical_activities,Walking the dog,New Emilyborough,2023-09-22,22:23,Cloudy
Jane,artistic_activities,Potluck Dinner,Davidsonberg,2023-10-11,02:49,Rainy
Doe,night_activities,Walking the dog,Heathertown,2023-09-24,15:52,Sunny
Jane,artistic_activities,Hiking ,North Gregory,2023-09-23,22:11,Cloudy
Bob,water_activities,Surfing,South Kathrynmouth,2023-09-27,06:12,Windy
Charlie,sports_activities,Fishing ,South Kathy,2023-10-09,10:18,Rainy
John,physical_activities,Spa Day  ,Davidborough,2023-10-07,06:45,Sunny
Doe,night_activities,Hiking ,North Anneton,2023-09-16,22:23,Windy
Charlie,sports_activities,Kite Flying,Tammybury,2023-09-25,17:52,Sunny
Doe,night_activities,Stargazing,Sandrahaven,2023-10-10,13:08,Sunny
Doe,night_activities,Walking the dog,South Kevinbury,2023-09-22,04:38,Windy
Charlie,sports_activities,Bowling,Millerberg,2023-09-20,20:24,Rainy
John,physical_activities,Walking the dog,Jonesburgh,2023-09-20,05:21,Sunny
Doe,night_activities,Movie Watching,Angelatown,2023-09-27,08:03,Windy
Mallory,extreme_activities,Rock Climbing ,Lake Megan,2023-10-07,20:28,Snowy
Doe,night_activities,Potluck Dinner,Gwendolynhaven,2023-10-11,23:21,Cloudy
Charlie,sports_activities,Basketball,Lake Tom,2023-09-26,17:56,Cloudy
Mallory,extreme_activities,Hiking ,South Bradley,2023-10-15,22:14,Sunny
Bob,water_activities,Kayaking,Jasonport,2023-10-01,13:17,Cloudy
Alice,outdoor_activities,Kite Flying,East Kathleen,2023-10-04,11:55,Snowy
Bob,water_activities,Rafting,Prestonville,2023-09-30,19:34,Windy
Eve,home_activities,Walking the dog,Dominichaven,2023-09-23,23:26,Windy
John,physical_activities,Dancing,Port Donnaport,2023-09-28,16:10,Windy
Jane,artistic_activities,Art Gallery Visit,South Miguel,2023-09-23,09:07,Snowy
Eve,home_activities,Cooking ,Lindseyberg,2023-10-15,14:11,Windy
Mallory,extreme_activities,Archery,New Brooke,2023-09-20,11:54,Cloudy
Mallory,extreme_activities,Walking the dog,Crawfordview,2023-10-01,22:32,Snowy
John,physical_activities,Basketball,South Christineshire,2023-10-07,20:55,Rainy
John,physical_activities,Stargazing,Ericaview,2023-09-29,22:44,Sunny
Eve,home_activities,Reading ,East Sheilashire,2023-10-07,08:35,Snowy
Alice,outdoor_activities,Golfing ,North Albertland,2023-09-16,20:10,Snowy
Doe,night_activities,Movie Watching,Fowlerberg,2023-09-26,07:03,Cloudy
Charlie,sports_activities,Beach Volleyball,New Sandra,2023-10-11,09:33,Sunny
Jane,artistic_activities,Walking the dog,Dodsonport,2023-10-05,02:31,Cloudy
Doe,night_activities,Potluck Dinner,Aaronfurt,2023-10-09,08:43,Sunny
Charlie,sports_activities,Skiing ,Stephenton,2023-09-24,09:44,Cloudy
Mallory,extreme_activities,Potluck Dinner,South Susan,2023-09-25,04:10,Cloudy
Alice,outdoor_activities,Movie Watching,East Tiffanyburgh,2023-09-22,01:26,Cloudy
Charlie,sports_activities,Soccer,Howellport,2023-09-22,19:28,Cloudy
Eve,home_activities,Potluck Dinner,Sarabury,2023-10-04,02:49,Cloudy
Bob,water_activities,Snorkeling,Ethanberg,2023-10-12,18:42,Rainy
Alice,outdoor_activities,Chess ,New Josephtown,2023-10-04,09:41,Cloudy
Doe,night_activities,Movie Watching,West Benjaminland,2023-10-09,05:36,Windy
Bob,water_activities,Rafting,Leslieburgh,2023-09-23,10:32,Rainy
Mallory,extreme_activities,Movie Watching,Paulborough,2023-10-06,04:23,Cloudy
Mallory,extreme_activities,Kayaking,Port Laura,2023-10-12,09:59,Cloudy
Jane,artistic_activities,Potluck Dinner,South Meganland,2023-10-15,01:05,Windy
Alice,outdoor_activities,Stargazing,Patrickview,2023-10-07,21:01,Cloudy
Bob,water_activities,Sailing,Josechester,2023-09-21,09:48,Snowy
Alice,outdoor_activities,Hiking ,Coxshire,2023-10-11,04:40,Sunny
Doe,night_activities,Hiking ,South Jeremy,2023-10-08,13:21,Snowy
Mallory,extreme_activities,Movie Watching,North Howard,2023-09-16,00:34,Windy
Bob,water_activities,Swimming,Michaelview,2023-10-02,18:30,Rainy
Mallory,extreme_activities,Ice Skating,Reedhaven,2023-09-24,14:30,Windy
Charlie,sports_activities,Tennis,Mariemouth,2023-10-11,15:31,Rainy
Bob,water_activities,Rafting,Wrightbury,2023-09-19,18:16,Sunny
Bob,water_activities,Movie Watching,South Anthonyfurt,2023-09-18,23:40,Snowy
Eve,home_activities,Dancing ,New Kyle,2023-09-30,17:37,Cloudy
Charlie,sports_activities,Potluck Dinner,Smallhaven,2023-10-06,03:14,Cloudy
Doe,night_activities,Walking the dog,Maryville,2023-10-04,21:29,Windy
Alice,outdoor_activities,Golfing ,West Jessica,2023-09-26,20:16,Windy
Doe,night_activities,Movie Watching,Lake Dianashire,2023-10-12,01:52,Rainy
Mallory,extreme_activities,Hiking ,Robertsonhaven,2023-10-02,02:11,Cloudy
Charlie,sports_activities,Movie Watching,Johnsonview,2023-09-17,01:23,Windy
Alice,outdoor_activities,Chess ,Robinsonport,2023-09-27,06:43,Snowy
John,physical_activities,Movie Watching,Chavezbury,2023-09-24,00:17,Snowy
Doe,night_activities,Stargazing,Port Jasonview,2023-09-19,21:41,Rainy
Alice,outdoor_activities,Walking the dog,Robinberg,2023-09-22,00:02,Snowy
Jane,artistic_activities,Hiking ,East Stephanieville,2023-09-18,21:41,Cloudy
Eve,home_activities,Potluck Dinner,South Danfort,2023-09-27,22:47,Snowy
Mallory,extreme_activities,Rock Climbing ,Joshuaton,2023-09-26,19:37,Windy
Alice,outdoor_activities,Walking the dog,Branchfort,2023-10-13,20:53,Rainy
Jane,artistic_activities,Comedy Show Attendance,Lopezville,2023-09-16,20:09,Rainy
Charlie,sports_activities,Movie Watching,South Seanhaven,2023-09-30,02:31,Sunny
Doe,night_activities,Walking the dog,West Wayne,2023-09-25,05:58,Windy
Jane,artistic_activities,Potluck Dinner,New Brad,2023-10-01,22:30,Snowy
Doe,night_activities,Hiking ,East Melissa,2023-10-04,05:19,Sunny
Alice,outdoor_activities,Shopping ,Josephmouth,2023-10-13,12:54,Snowy
Mallory,extreme_activities,Stargazing,Medinaville,2023-10-14,21:26,Rainy
Mallory,extreme_activities,Hiking ,Garrettburgh,2023-10-07,05:05,Snowy
Jane,artistic_activities,Magic Show Attendance,Lake Caseyfort,2023-10-01,06:31,Cloudy
Eve,home_activities,Hiking ,Gonzalezhaven,2023-10-06,03:49,Rainy
Alice,outdoor_activities,Walking the dog,North Donald,2023-10-13,21:44,Snowy
Doe,night_activities,Walking the dog,Tammyfurt,2023-10-06,20:08,Sunny
Alice,outdoor_activities,Board Games ,Lake Calvin,2023-10-12,12:35,Snowy
Bob,water_activities,Canoeing,South Rebeccastad,2023-10-08,14:20,Cloudy
Jane,artistic_activities,Reading,Lake Don,2023-09-20,07:47,Sunny
Bob,water_activities,Stargazing,Williammouth,2023-09-28,02:17,Cloudy
Mallory,extreme_activities,Movie Watching,West Rhonda,2023-09-29,21:27,Rainy
Alice,outdoor_activities,Chess ,Lake Paige,2023-09-26,18:46,Windy
Jane,artistic_activities,Tea Ceremony,Lawrencechester,2023-09-27,17:40,Cloudy
Charlie,sports_activities,Fishing ,West Jillborough,2023-10-06,06:57,Cloudy
Doe,night_activities,Hiking ,Port Bryanbury,2023-10-04,01:37,Cloudy
Eve,home_activities,Barbecue,West Grace,2023-10-02,16:52,Rainy
John,physical_activities,Sightseeing ,Hernandezton,2023-09-24,17:44,Cloudy
John,physical_activities,Bowling,Garciashire,2023-09-18,07:25,Windy
Mallory,extreme_activities,Ice Skating,West Rachel,2023-10-09,16:34,Cloudy
Jane,artistic_activities,Potluck Dinner,Port Steven,2023-09-28,03:00,Snowy
Bob,water_activities,Sailing,East Tammyside,2023-10-06,18:21,Snowy
Eve,home_activities,Tea Ceremony,South Deborahchester,2023-10-09,15:02,Snowy
Doe,night_activities,Stargazing,Danielfort,2023-09-23,09:01,Windy
Charlie,sports_activities,Gym Workout ,North Benjamin,2023-09-28,11:32,Cloudy
Eve,home_activities,Massage ,Danielletown,2023-09-26,15:03,Sunny
John,physical_activities,Movie Watching,West Johnport,2023-09-18,05:34,Cloudy
Charlie,sports_activities,Gym Workout ,Williamburgh,2023-09-19,12:55,Snowy
Doe,night_activities,Hiking ,Russellmouth,2023-09-25,23:43,Sunny
Doe,night_activities,Potluck Dinner,Richardburgh,2023-09-24,23:58,Cloudy
John,physical_activities,Gym Workout,Juliabury,2023-10-14,12:17,Sunny
Bob,water_activities,Rafting,East Christophermouth,2023-10-06,13:48,Rainy
Mallory,extreme_activities,Hiking ,Mooreview,2023-09-19,22:13,Windy
Bob,water_activities,Kayaking,Freymouth,2023-10-01,18:54,Windy
Charlie,sports_activities,Skiing ,West Brendan,2023-10-06,14:38,Sunny
John,physical_activities,Walking the dog,Cruzton,2023-10-10,02:52,Rainy
Jane,artistic_activities,Walking the dog,South Michelle,2023-09-26,04:54,Snowy
Alice,outdoor_activities,Walking the dog,North Bryan,2023-10-07,22:58,Snowy
Doe,night_activities,Stargazing,New Richard,2023-10-13,04:43,Snowy
Eve,home_activities,Baking ,Michaelton,2023-10-15,08:47,Windy
Charlie,sports_activities,Walking the dog,Christopherborough,2023-10-13,03:07,Snowy
John,physical_activities,Yoga,South Ericchester,2023-10-07,19:37,Snowy
Alice,outdoor_activities,Running,Greentown,2023-10-03,18:21,Snowy
Mallory,extreme_activities,Surfing,West Heatherside,2023-09-28,17:11,Rainy
Alice,outdoor_activities,Canoeing ,South Jenniferport,2023-10-05,15:55,Rainy
Eve,home_activities,Tea Ceremony,East Beverly,2023-09-16,13:00,Snowy
John,physical_activities,Movie Watching,New Kenneth,2023-10-08,03:46,Snowy
Alice,outdoor_activities,Sightseeing ,South Brianport,2023-10-03,18:08,Windy
Mallory,extreme_activities,Kayaking,Lewisside,2023-10-14,17:19,Windy
Eve,home_activities,Yoga ,South Nathanport,2023-10-15,19:15,Snowy
John,physical_activities,Swimming,Branchchester,2023-09-29,10:14,Windy
Alice,outdoor_activities,Whale Watching,Huffmouth,2023-10-12,06:18,Windy
Doe,night_activities,Movie Watching,Dayton,2023-10-06,18:13,Cloudy
Jane,artistic_activities,Coffee Tasting ,Antonioburgh,2023-09-23,07:21,Cloudy
Charlie,sports_activities,Walking the dog,West Samanthafurt,2023-10-09,05:45,Snowy
Jane,artistic_activities,Potluck Dinner,Cookville,2023-10-07,21:56,Cloudy
Mallory,extreme_activities,Rafting,West Shawn,2023-10-06,16:59,Rainy
Jane,artistic_activities,Wine Tasting,Lake Maryshire,2023-09-16,17:25,Sunny
John,physical_activities,Running,Taylorton,2023-10-12,20:58,Cloudy
Charlie,sports_activities,Gym Workout ,Davidsonberg,2023-09-16,13:03,Cloudy
Bob,water_activities,Canoeing,Randallmouth,2023-09-26,18:46,Cloudy
Charlie,sports_activities,Kite Flying,Lake Seanville,2023-09-16,20:55,Cloudy
Alice,outdoor_activities,Fashion Shopping ,Caseytown,2023-10-01,13:04,Windy
Eve,home_activities,Farming Activities,Kelseyview,2023-10-03,15:05,Rainy
Eve,home_activities,Hiking ,Lake Clayton,2023-10-09,23:09,Rainy
Doe,night_activities,Hiking ,South Charlesbury,2023-10-10,06:40,Sunny
Bob,water_activities,Hiking ,Anthonystad,2023-10-13,02:32,Rainy
Eve,home_activities,Video Games,West Matthewmouth,2023-09-24,19:39,Sunny
Eve,home_activities,Hiking ,New Kyle,2023-09-16,23:38,Snowy
Bob,water_activities,Kayaking,Patrickberg,2023-10-01,09:08,Sunny
Eve,home_activities,Yoga ,West Allenport,2023-09-25,17:29,Snowy
Charlie,sports_activities,Rafting,Nicoleview,2023-09-18,12:19,Snowy
John,physical_activities,Walking the dog,Port Annaland,2023-10-01,02:11,Sunny
Bob,water_activities,Hot Spring Bath,South Christinaberg,2023-09-29,17:52,Snowy
Mallory,extreme_activities,Walking the dog,West Nathan,2023-09-24,23:21,Rainy
Eve,home_activities,Yoga ,South Wendyshire,2023-09-22,09:47,Sunny
Jane,artistic_activities,Photography,Andrewstad,2023-10-12,16:50,Sunny
Mallory,extreme_activities,Walking the dog,Lake Ashleychester,2023-10-09,05:20,Snowy
Jane,artistic_activities,Music Class,Thomaston,2023-09-24,18:47,Sunny
Eve,home_activities,Singing ,East Adam,2023-10-04,13:33,Snowy
Doe,night_activities,Potluck Dinner,Mooreview,2023-10-05,19:47,Rainy
Doe,night_activities,Walking the dog,New Michael,2023-10-12,19:38,Snowy
Bob,water_activities,Snorkeling,Romeroshire,2023-09-20,07:09,Rainy
Jane,artistic_activities,Theater Visit,North Jamestown,2023-10-11,11:17,Sunny
Alice,outdoor_activities,Stargazing,Smithfurt,2023-10-13,22:50,Windy
John,physical_activities,Movie Watching,New Tonyaport,2023-10-03,05:21,Windy
Doe,night_activities,Stargazing,Lindastad,2023-10-09,08:08,Windy
John,physical_activities,Snowboarding,Curtisville,2023-09-23,12:28,Rainy
Eve,home_activities,Stargazing,South Michaelland,2023-09-18,05:33,Rainy
Bob,water_activities,Movie Watching,New Philip,2023-10-12,04:12,Windy
Mallory,extreme_activities,Walking the dog,Munozstad,2023-09-21,22:57,Windy
John,physical_activities,Gym Workout,New Amber,2023-09-21,09:22,Rainy
John,physical_activities,Horse Riding ,South Jenniferside,2023-10-01,19:18,Snowy
Mallory,extreme_activities,Potluck Dinner,New Kiaraberg,2023-10-12,23:29,Sunny
Eve,home_activities,Meditation ,West Brianna,2023-10-12,06:21,Snowy
Bob,water_activities,Swimming,South Denniston,2023-09-28,11:19,Windy
Mallory,extreme_activities,Potluck Dinner,Kevinfurt,2023-09-30,04:36,Snowy
John,physical_activities,Beach Volleyball,Port Margaretberg,2023-10-12,18:14,Cloudy
John,physical_activities,Facial Treatment,Sampsonmouth,2023-10-11,07:17,Cloudy
Jane,artistic_activities,Ballet Attendance,Baileyville,2023-10-15,13:45,Rainy
John,physical_activities,Potluck Dinner,Tarachester,2023-09-18,21:19,Sunny
Jane,artistic_activities,Coffee Tasting ,East Christopher,2023-09-18,16:34,Cloudy
John,physical_activities,Walking the dog,Jamesport,2023-10-01,00:44,Sunny
Alice,outdoor_activities,Zoo Visit,Watsonfurt,2023-10-07,16:27,Rainy
Alice,outdoor_activities,Canoeing ,Deannaport,2023-09-25,16:42,Cloudy
Eve,home_activities,Tea Ceremony,Sandrastad,2023-09-24,14:12,Cloudy
Bob,water_activities,Sauna  ,Lake Jeffport,2023-09-19,15:17,Cloudy
Bob,water_activities,Sailing,Chadtown,2023-10-02,18:40,Rainy
John,physical_activities,Running,North Jamesville,2023-10-07,19:46,Sunny
Eve,home_activities,Painting ,Kimberlyport,2023-10-14,16:32,Sunny
John,physical_activities,Hair Salon Visit ,West Staceyside,2023-09-26,18:51,Rainy
Bob,water_activities,Sailing,Humphreyview,2023-10-08,18:42,Sunny
Alice,outdoor_activities,Potluck Dinner,South Jacobbury,2023-10-02,02:53,Sunny
Jane,artistic_activities,Singing ,South Donnaton,2023-10-06,08:01,Windy
Doe,night_activities,Potluck Dinner,Port Karenstad,2023-10-06,15:01,Sunny
Doe,night_activities,Hiking ,Michaelview,2023-09-24,18:26,Cloudy
Jane,artistic_activities,Walking the dog,Beststad,2023-10-13,02:56,Snowy
Eve,home_activities,Chess ,Wyattfort,2023-09-28,09:36,Windy
Bob,water_activities,Walking the dog,Williamsfurt,2023-09-23,04:46,Sunny
Alice,outdoor_activities,Hiking ,East Christopher,2023-10-11,04:08,Rainy
Eve,home_activities,Potluck Dinner,Tamaramouth,2023-09-28,12:30,Rainy
Alice,outdoor_activities,Stargazing,Richardmouth,2023-09-16,22:56,Windy
John,physical_activities,Walking the dog,North Jenniferville,2023-09-18,07:47,Snowy
Charlie,sports_activities,Bowling,Port Candace,2023-09-23,09:13,Rainy
Bob,water_activities,Kayaking,Thompsonview,2023-09-26,13:56,Rainy
Mallory,extreme_activities,Ice Skating,Krystalmouth,2023-10-04,18:27,Sunny
John,physical_activities,Rock Climbing ,Lake Bryanside,2023-10-11,18:34,Windy
Eve,home_activities,Movie Watching,Port Scott,2023-10-04,02:50,Rainy
Bob,water_activities,Stargazing,South Jeanmouth,2023-10-09,22:11,Cloudy
Eve,home_activities,Tea Ceremony,Lake Carlchester,2023-09-20,12:24,Rainy
Doe,night_activities,Walking the dog,Paulmouth,2023-09-20,12:45,Rainy
Alice,outdoor_activities,Fashion Shopping ,Moniqueview,2023-09-22,07:16,Rainy
Bob,water_activities,Hiking ,Hoffmanfurt,2023-10-13,23:54,Windy
Doe,night_activities,Walking the dog,Collinsshire,2023-10-10,06:03,Windy
Mallory,extreme_activities,Kayaking,New Amychester,2023-09-28,14:10,Snowy
Jane,artistic_activities,Language Learning,West Jennifer,2023-10-13,19:39,Sunny
Jane,artistic_activities,Singing ,South Samuel,2023-10-01,12:08,Cloudy
Alice,outdoor_activities,Walking the dog,New James,2023-09-28,04:19,Rainy
Eve,home_activities,Painting ,Port Laurafurt,2023-10-05,11:06,Rainy
Charlie,sports_activities,Hiking ,Johnsonstad,2023-09-28,22:43,Rainy
Charlie,sports_activities,Walking the dog,Lake Daniel,2023-10-15,23:30,Snowy
Alice,outdoor_activities,Movie Watching,Bakerburgh,2023-10-08,04:12,Rainy
Eve,home_activities,Video Games,East Melissa,2023-10-14,17:57,Windy
Alice,outdoor_activities,Sandcastle Building ,Foxchester,2023-10-10,15:34,Snowy
Doe,night_activities,Movie Watching,South Kayla,2023-10-02,02:57,Snowy
Jane,artistic_activities,Singing ,Leslieshire,2023-09-22,13:24,Windy
Mallory,extreme_activities,Scuba Diving ,East Corey,2023-10-01,15:12,Cloudy
Alice,outdoor_activities,Spa Day  ,Kaylaport,2023-10-01,19:15,Windy
Eve,home_activities,Hot Spring Bath,New Bridgetmouth,2023-09-29,20:05,Windy
Charlie,sports_activities,Potluck Dinner,North Amber,2023-10-10,00:45,Windy
Charlie,sports_activities,Movie Watching,Lopeztown,2023-09-26,00:31,Windy
Eve,home_activities,Knitting,South Monica,2023-09-25,14:31,Windy
Doe,night_activities,Potluck Dinner,East Katiemouth,2023-10-01,14:32,Cloudy
Charlie,sports_activities,Bowling,New Timothy,2023-09-16,10:23,Windy
Charlie,sports_activities,Hiking ,Richardberg,2023-10-15,22:16,Rainy
Charlie,sports_activities,Hiking ,Lake Michealview,2023-09-24,00:19,Windy
Doe,night_activities,Hiking ,Maloneside,2023-10-13,02:51,Sunny
Eve,home_activities,Walking the dog,North Alyssaview,2023-10-05,23:42,Sunny
Charlie,sports_activities,Stargazing,New Carolyn,2023-10-07,22:53,Windy
Bob,water_activities,Potluck Dinner,Ronaldmouth,2023-09-20,01:59,Rainy
Jane,artistic_activities,Comedy Show Attendance,North Karenhaven,2023-10-01,10:13,Rainy
Mallory,extreme_activities,Movie Watching,Josefort,2023-09-22,22:52,Snowy
Doe,night_activities,Stargazing,Villarrealberg,2023-10-15,22:48,Rainy
Jane,artistic_activities,Potluck Dinner,Sanchezchester,2023-09-16,02:47,Sunny
Alice,outdoor_activities,Sandcastle Building ,Christianland,2023-10-01,19:44,Rainy
John,physical_activities,Facial Treatment,North Adam,2023-09-29,09:12,Windy
Eve,home_activities,Baking ,Maryburgh,2023-10-05,17:38,Sunny
Bob,water_activities,Sailing,South David,2023-10-15,14:07,Snowy
John,physical_activities,Horseback Riding,Daniellemouth,2023-09-21,16:18,Sunny
Charlie,sports_activities,Snowboarding ,New Breanna,2023-09-17,20:43,Windy
Doe,night_activities,Stargazing,East Brianstad,2023-10-12,13:33,Windy
Alice,outdoor_activities,Horseback Riding,Mendezberg,2023-10-08,07:52,Sunny
Eve,home_activities,Potluck Dinner,North Deborahtown,2023-09-18,00:04,Sunny
John,physical_activities,Walking the dog,Woodsborough,2023-10-08,00:02,Cloudy
Doe,night_activities,Hiking ,Christopherfurt,2023-10-11,23:56,Windy
Jane,artistic_activities,Art Gallery Visit,Alanhaven,2023-09-20,10:54,Windy
Bob,water_activities,Potluck Dinner,Port Mauricemouth,2023-09-22,02:41,Snowy
Bob,water_activities,Whale Watching,West Tiffany,2023-09-23,07:09,Cloudy
John,physical_activities,Cycling,New Sharonburgh,2023-09-20,14:56,Snowy
Doe,night_activities,Stargazing,Lisashire,2023-09-21,11:01,Snowy
Charlie,sports_activities,Tennis,West Amberbury,2023-09-25,19:36,Windy
Charlie,sports_activities,Dancing ,South Brandy,2023-10-09,07:57,Snowy
Charlie,sports_activities,Baseball,North Mitchell,2023-09-22,09:42,Rainy
Mallory,extreme_activities,Kite Flying,South John,2023-09-18,07:01,Rainy
Alice,outdoor_activities,Walking the dog,West Carlos,2023-09-24,18:12,Cloudy
Mallory,extreme_activities,Potluck Dinner,Christopherland,2023-09-17,02:53,Cloudy
Alice,outdoor_activities,Fishing ,Henrymouth,2023-09-26,14:35,Cloudy
Charlie,sports_activities,Stargazing,Lake Douglasberg,2023-10-15,04:24,Windy
Alice,outdoor_activities,Fishing ,Navarroville,2023-10-10,11:56,Windy
Eve,home_activities,Cooking ,South Kristina,2023-09-26,13:07,Windy
Eve,home_activities,Potluck Dinner,Lake Calvinmouth,2023-09-25,00:39,Windy
Doe,night_activities,Movie Watching,Porterburgh,2023-10-10,01:56,Sunny
Alice,outdoor_activities,Stargazing,Khanland,2023-09-19,21:56,Rainy
Bob,water_activities,Hot Spring Bath,Torresmouth,2023-09-25,15:54,Rainy
Mallory,extreme_activities,Stargazing,South Joshuashire,2023-09-19,03:53,Windy
Alice,outdoor_activities,Video Games,Jasmineside,2023-10-06,19:25,Sunny
Eve,home_activities,Stargazing,Andrewside,2023-10-07,03:18,Sunny
John,physical_activities,Horse Riding ,South Jane,2023-09-25,16:09,Rainy
Charlie,sports_activities,Hiking ,North Roberthaven,2023-09-28,03:34,Windy
Doe,night_activities,Walking the dog,Hendersonshire,2023-10-07,09:18,Cloudy
John,physical_activities,Hair Salon Visit ,Derekbury,2023-10-15,18:56,Cloudy
